stop_percent,product_name,processed_WC,meaning_percent,meaningful_words,stop_words,review_score,initial_WC
0.1895424836601307,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),306,0.8104575163398693,"{'UPDATE', 'Memory', 'Micro', 'along', '-Bigger', 'make', '64GB', 'PCS', 'frugal', 'need', '-2', 'MB-MP64DA/AM', 's7', 'Blue', 'thought', 'outlasted', 'far', 's6', 'reading', ':', 'owning', 'deliver', 'Drop', '19', 'getting', 'Glass', 'noticeable', 'Cover', 'would', 'judgement', 'mentioned', 'thin', '2017', 'My', ']', 'good', 'working', 'plan', 'made', 'bottom', 'stars', 'light', 'times', '-Overall', 'TMobile', 'time', 'items', 'protected', 'bigger', 'certainly', 'added', 'protector', 'SDXC', '-AFFORDABLE', 'faster', 'Case', 'investment', 'first', 'updating', 'chewed', '4', 'ago', 'Mr', 'quickly', 'Adapter', 'felt', 'full', 'This', 'review', 'Shell', 'abused', 'may', 'one', 'side', 'standards', 'S', 'continues', '``', 'compared', 'He', 'product', 'add', 'toll', 'Rugged', '-much-', 'memory', 'performed', 'series', 'new', 'Pros', 'Cons', '2016', 'looks', '6', 'plastic', 'list', 'Heavy', 'card', 'old', 'large', '...', 'via', 'today', '5', 'floor', 'influence', 'Galaxy', 'come', 'Metro', '1', 'responds', 'button-', 'still', 'June', 'love', 'charging', 'quite', 'Screen', 'Fit', 'awesome', 'expected', 'thrown', 'things', 'Being', 'Protector', 'Tempered', 'worth', 'issues', 'Stylus', 'case', 'Ultimate', 'continue', 'Card', 'S5', 'work', '18', 'scratched', 'minute', 'NOT', 'February', 'gained', 'paid', 'J7', 'second', 'Not', 'rated', 'crack', '-Great', '7', 'decided', '[', 'Will', 'Phonelicious', 'DO', 'give', 'happened', 'S7', 'SAMSUNG', '2', 'I', 'star', 'course', 'month', '48/MB/s', 'year', 'home', 'Version', 'cheap', 'use', 'Duty', 'purchasing', 'phones', 'freaking', 'try', '8', '-Camera', '2-Pack', 'comparable', 'What', 'screen', 'processors', 'absolutely', 'promised', 'months', 'REVIEW', 'explain', 'money', 'sturdy', 'switching', 'Protection', 'models', 'taken', 'Yes', 'Let', 'For', 'great', 'item', 'phone', '-', 'well', 'thinner', 'price', '?', 'somewhat', 'abuse', 'call', 'quality', 'available', 'also', 'Boost', '&', 'back', 'After', 'Matte', 'clarify', 'Shield', 'Virgin', 'delivered', 'purchased', 'It', '!', 'Given', 'reviewing', 'EVO', 'Samsung', 'wife', 'original', 'Boostmobile', 'reasonable', 'Slim', 'eight', 'originally', 'feel', 'The', 'main', 'images', ""''"", 'Of', 'extra', 'feels', 'since', 'buttons-', 'dozens', 'shopper', 'Navy', 'S6', 'matter', 'used'}","{'no', 'on', 'those', 'with', 'for', 'now', 'my', 'had', 'most', 'why', 'or', 'not', 'how', ')', 'again', 'are', 'the', 'some', 'what', 'this', 'a', 'over', 'after', 'do', 'is', 'has', 'who', 'but', 'and', 'be', 'of', 'does', 'to', 'out', 'you', 'up', '(', 'doing', ',', 'it', 'me', ""'s"", 'than', 'so', 'in', 'that', 'other', 'off', 'was', 'am', '.', 'as', 'about', 'been', 'have', 'did', 'from', 'will'}",5.0 ,665
0.26506024096385544,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),83,0.7349397590361446,"{'bought', 'boost', '200', 'Great', 'great', 'phone', 'ring', 'power', 'fast', 'incoming', 'life', 'price', 'perfect', '700', 'quality', 'call', 'texting', 'na', 'battery', 'wan', 'already', 'Cons-', 's7', 'speaker', 'tone', '6.0', 'couple', 'bucks', 'go', 'save', 'internet', 'Very', 'spare', 'notification', 'I', 'marshmallow', 'display', 'website', 'leave', 'course', 'ca', 'j7', ""n't"", 'good', 'selfie', 'mode', 'light', 'Of', 'camera', 'batteries', 'Mobile', 'size', 'spend', '$', 'No', 'LED', 'Pros-', 'louder', 'money', 'wrong', 'Good'}","{'on', 'with', 'for', 'not', ')', 'the', 'this', 'a', 'its', 'do', 'is', 'but', 'be', 'then', 'you', '(', ',', 'it', '.', 'as', 'if', 'from'}",4.0 ,121
0.3120567375886525,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),141,0.6879432624113475,"{'GREAT', 'present', 'anybody', 'along', 'account', 'upcoming', 'octa-core', 'His', 'mine', 'terms', '..all', 'glass', 'shock', 'My', 'plenty', 'January', 'Therefore', 'better', 'talk', 'online', 'faster', 'hubby', 'bought', ""'ve"", 'afford', 'Elite', 'scaled', 'apples', 'proving', 'much', 'This', ""'shopcelldeals"", 'new', '2016', 'old', ""n't"", '...', 'via', 'birthday', 'model', 'say', 'Mobile', 'love', 'charging', 'quad-core', 'issues', 'ZTE', 'placed', 'even', 'protection', 'J7', 'opted', ""'d"", 'Recommended', 'S7', '2', 'I', 'sticker', 'processing/memory', 'saved/paid', 'Warp', 'affordable', 'comparable', 'screen', 'processors', 'contract', ';', 'Thank', 'switching', 'selling', 'BUT', 'great', 'phone', '-', 'well', 'power', 'price', '2GB', 'quality', 'Boost', 'also', '60th', 'Comparing', 'could', '!', 'oranges', 'worked', 'Samsung', 'reasonable', 'processing', 'response', 'since', 'pretty', 'upfront', 'S6', 'using', 'ROM'}","{'his', 'no', 'on', 'with', 'for', 'my', 'had', ""'"", 'or', ')', 'the', 'an', 'this', 'a', 'over', 'which', 'just', 'do', 'is', 'has', 'but', 'and', 'be', 'of', 'to', 'out', 'you', 'at', '(', 'it', 'me', ""'s"", 'than', 'so', 'down', 'in', 'that', 'was', '.', 'he', 'been', 'have', 'did', 'from'}",5.0 ,257
0.42857142857142855,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),63,0.5714285714285714,"{'version', 'Face', 'Fast', 'phone', 'Awesome', 'problem', '4gLTE', 'price', 'Boost', 'problems', 'system', 'couple', 'Plenty', 'keep', 'S7', 'every', 'cheaper', 'getting', 'company', 'service', 'I', 'memory', 'set', 'large', 'Marshmallow', 'like', 'phones', 'You', 'going', 'years', 'Hard', 'deal', 'screen', 'love', 'mobile', 'cell'}","{'no', 'on', 'with', 'for', 'should', 'not', 'are', 'the', 'a', 'once', 'which', 'these', 'is', 'all', 'but', 'and', 'of', 'to', 'at', 'up', ',', 'it', 'me', 'other', '.', 'them', 'have'}",5.0 ,88
0.29310344827586204,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),58,0.7068965517241379,"{'boost', 'apps', 'phone', 'well', 'last', 'jump', 'def', 'plus.The', 'battery', 'much', 'galaxy', 'Boost', '20', 'That', 'direction', '!', 'It', 'amazon', 'Coming', 'cheaper', 'S3', 'I', 'big', 'two', 'The', 'times', 'right', 'operating', 'another', 'talking/texting', 'day', 'site', 'bigger', 'love', '$', 'mobile', 'using', 'responsive', 'worth', 'system', 'faster'}","{'from', 'on', 'a', 'this', 'while', 'for', '.', 'as', 'is', 'it', 'than', 'all', 'more', 'but', 'and', 'in', 'the'}",5.0 ,71
0.4523809523809524,samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone ),42,0.5476190476190477,"{'Much', 'great', 'phone', 'work', 'Boost', 'much', 'This', 'prefer', 'one', 'comparison', 'I', 'big', '6', 'nicer', 'old', 'use', 'The', 'spoiled', 'Mobile', 'screen', 'iPhone', 'months', 'tiny'}","{'a', 'this', 'for', 'my', 'over', '.', 'had', 'by', 'been', 'is', 'it', 'few', 'has', 'me', ""'s"", 'than', 'and', 'have', 'the'}",5.0 ,57
0.2210144927536232,motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging,276,0.7789855072463768,"{'CPUs', 'deals', 'excellent', 'keyboard', 'apps', 'greatly', 'Micro', '8GB', 'several', 'need', 'speakers', 'despite', 'problems', '4G', 'micro', 'Eventually', 'replaced', ':', 'high-quality', 'refuse', 'switched', 'every', 'contrast', 'small', 'less', 'noticeable', 'G3', 'incredible', 'Polaris', 'would', 'kick', 'My', 'working', 'good', 'general', 'suitable', 'profound', 'figuratively', ""'m"", 'Sept.', 'write', 'functional', 'time', 'needs', 'better', 'becoming', 'sensor', 'specific', 'huge', 'bigger', 'While', 'Wifi', 'literally', 'without', 'tests', 'processor', 'weeks', ""'ve"", 'wait', 'audio', 'luck', 'benefit', '1.4', 'means', 'Class', 'larger', 'lower-end', 'water', 'This', 're-mount', 'Call', 'one', 'really', 'upgrade', 'difference', 'option', 'improvement', 'stutters', 'number', 'caught', 'play', '32GB', 'unusable', 'memory', 'two', 'limitation', 'jumps', 'turned', '2016', '6', 'ended', 'gHz', 'card', 'ProCapture', 'girlfriend', ""n't"", 'like', 'losing', '5', 'purposes', 'user', 'Galaxy', 'downpours', 'supports', 'applications', 'still', 'little', 'survived', 'GHz', 'worth', 'quad-core', 'speeds', 'HTC', 'case', 'around', 'probably', 'TeamViewer', 'unmounted', 'problem', 'SIII', 'NOT', 'flawlessly', 'priced', 'freezing', 'Some', 'read/write', 'Update', 'definitely', 'suits', 'smaller', 'performs', 'Office', 'SDHC', 'makes', 'hang', 'seems', 'connectivity', 'all-weather', 'I', 'upgrading', 'big', 'device', 'flagship', 'construction', 'games', 'If', '10', 'camera', 'decrease', 'screen', 'impressed', 'rugged', 'boost', 'fair', 'Cortex-A53', 'run', 'attempts', 'resistant', 'For', 'great', 'phone', '-', 'well', 'power', 'front', 'price', 'experienced', 'want', 'also', 'productivity', '816', 'biggest', 'current', 'speed', 'Moto', 'space', 'It', 'happy', 'older', 'think', 'Samsung', 'EVO', 'data', 'SD', 'notice', 'storage', 'SwiftKey', 'affected', 'assumed', 'feel', 'value', 'pulling', 'running', 'Plus', 'The', 'though', 'loosening', 'users', 'clarity', 'almost', 'brightness', 'handset', 'color', 'since', 'freeze', 'internally', 'solid', 'performance', 'discount', 'penny', 'market', 'always', 'Kingston', 'ever', 'Desire'}","{'on', 'with', 'for', 'my', 'both', 'had', 'most', 'same', 'or', 'not', 'few', 'how', 'being', ')', 'are', 'she', 'the', 'some', 'having', 'an', 'very', 'this', 'a', 'were', 'after', 'these', 'do', 'is', 'has', 'all', 'but', 'and', 'of', 'to', 'out', 'when', 'you', 'at', 'up', '(', ',', 'any', 'it', 'me', ""'s"", 'so', 'in', 'that', 'other', 'was', '.', 'as', 'only', 'because', 'about', 'by', 'been', 'if', 'have', 'they', 'from'}",5.0 ,607
0.25806451612903225,motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging,248,0.7419354838709677,"{'advertises', 'GSM', 'However', 'greatly', 'end', 'obviously', 'stone', 'Anyway', 'relatively', 'remember', 'noted', '16gb', 'purely', 'killing', 'small', 'rooted', 'many', 'touchy', '5mp', 'would', 'helpful', 'variety', 'mostly', 'light', 'night', 'better', 'specific', 'horribly', 'dark', 'successor', 'Volt', 'feature', 'possibly', 'look', 'type', 'shows', 'low', 'crashes', 'accessibility', 'begin', 'appreciate', 'ram', 'quickly', 'battery', 'much', 'This', 'Stylo', 'water', 'one', 'able', 'may', 'completely', 'Works', 'considering', 'update', 'ages', '``', 'personal', 'lineups', 'play', 'crashing', 'add', 'con', 'cheap', 'new', 'lose', '2gb', ""n't"", 'like', 'user', 'purposes', 'lighting', 'Mobile', 'although', 'little', 'LED', 'way', 'internal', 'things', 'damage', 'sure', 'something', 'notifications', 'must', 'probably', 'store', 'brilliantly', '10gb', 'Marshmellow', 'Phablets', 'problem', 'even', 'care', '13mp', 'LG', 'opinion', 'comes', 'definitely', ""'d"", 'people', 'nice', 'best', 'long', 'I', 'big', 'bit', 'crisp', 'comfortable', 'carriers', 'use', 'seal', 'near', 'useless', 'phones', 'You', 'try', 'camera', 'G', 'Motorola', 'T-Mobile', 'screen', 'trying', 'Over', 'Lollipop', 'edges', 'laid', 'epect', 'Yes', 'resistant', 'specs', 'great', 'There', 'phone', 'well', 'mess', 'front', 'experienced', 'price', 'left', 'want', '8gb', 'available', 'back', 'swim', 'promise', 'know', 'Virgin', 'hit', 'Moto', 'accidents', '1gb', 'It', 'proof', 'fine', 'advise', 'anything', 'bright', 'carries', 'storage', 'Display', 'warranty', 'however', 'The', ""''"", 'though', 'grainy', '2015', 'users', 'brought', 'another', 'extra', 'outside', 'get', '4.5gb', 'budget', 'immediately', 'void', 'carrier', 'settings', 'splashes', 'edition', 'fire', 'biggest', 'used'}","{'under', 'on', 'those', 'with', 'for', 'my', 'should', 'had', 'or', 'not', 'too', 'are', 'there', 'the', 'an', 'what', 'very', 'can', 'this', 'a', 'over', 'which', 'just', 'do', 'is', 'all', 'who', 'but', 'and', 'be', 'of', 'your', 'does', 'to', 'when', 'you', 'before', 'up', 'doing', ',', 'it', 'me', 'such', ""'s"", 'so', 'until', 'more', 'than', 'in', 'that', 'other', 'was', 'am', '.', 'as', 'only', 'because', 'about', 'if', 'have', 'did', 'they', 'from', 'will'}",5.0 ,609
0.3253968253968254,motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging,126,0.6746031746031746,"{'speakerphone', 'sufficient', 'Yes', 'hours', 'S2', 'actually', 'trade', 'apps', 'phone', 'apples', 'killed', '8GB', 'photos', 'video', '4', 'life', 'even', '70', 'battery', 'left', 'favorite', 'full', 'This', 'So', 'installing', '16GB', 'worried', 'quality', 'really', 'dropped', 'After', 'Comparing', 'takes', 'far', 'replaced', 'speed', 'Moto', '4.54', 'loud', 'shutter', 'oranges', 'happy', 'play', 'watch', '2', 'less', 'two', 'memory', '%', 'I', 'year', 'storage', 'would', 'old', ""n't"", 'like', 'games', 'use', '3', 'lacks', 'The', 'usable', 'Tube', 'phones', 'gb', ""'m"", 'Galaxy', 'You', 'FB', 'needs', 'time', 'everything', 'amazing', 'better', 'day', 'G', 'used', 'still', 'feature', 'higher', 'NFC', 'internal', 'daylight', 'worth', 'faster'}","{'on', 'with', 'for', 'my', 'both', 'during', 'or', ')', 'are', 'the', 'very', 'a', 'this', 'over', 'after', 'is', 'has', 'but', 'and', 'be', 'of', 'does', 'to', '(', ',', 'any', 'it', 'than', 'more', 'down', 'in', 'that', 'other', 'off', 'was', '.', 'only', 'if', 'did', 'they', 'have'}",4.0 ,201
0.3389830508474576,"viviscal extra strength hair nutrient tablets, 90-tablets",59,0.6610169491525424,"{'Powerful', 'Viviscal', 'Blockers', 'basically', 'Approved', 'minoxidil', 'work', 'Minoxigaine', 'FDA', 'rogaine', 'definitely', 'really', 'ingredients', 'natural', 'nice', 'vitamin', 'DHT', 'product', 'together', 'hair', 'I', 'less', 'Hairgenics', '%', 'new', 'notice', 'month', 'use', 'Plus', '5', 'Formula', 'Hair', 'Growth', 'shedding', 'Minoxidil', 'little', 'combination', 'using', 'growth'}","{'of', 'a', 'over', 'now', 'with', 'for', 'which', 'other', '.', 'by', ',', 'been', 'have', 'is', 'it', ""'s"", 'and', 'that', 'your', 'some'}",4.0 ,80
